,Numer,Date,Year,Day,Description,Location,Province,Latitude,Longitude,Elevation,Activity,Involvement,Injury,Fatality,Month,Temp
0,0,2020-12-28,2020,Thursday,"A party of four were riding snow bikes near Railroad Pass. Two riders went ahead and were caught in an avalanche, which was not observed by the others. The avalanche occurred on a relatively small slope in an open glade at treeline elevation with an incline of about 35 degrees. The avalanche was approximately 150 m wide by 150 m long.



The survivors and other users in the area noticed an avalanche crown with signs of human involvement and the party was reported missing late on December 28, but darkness prevented SAR operations that day. The following morning, RCMP and SAR teams using transceivers and rescue dogs located the two subjects buried about 50-100 cm below the surface in a terrain trap.",Railroad Pass,BC,50.594472,-123.008611,1650,Snow Biking,2,0,2,December,-6
1,1,2020-11-28,2020,Sunday,"Several days of stormy weather with warm temperatures and winds dropped significant amounts of new snow in the days leading up to the accident. Skies broke and temperatures cooled on the morning of November 28th and SW winds strong enough to move new snow were recorded in the region. 

Two snowmobilers were riding in the Bijou Falls riding area towards the east side in a portion of terrain overlooking highway 97. One rider climbed high on the slope gaining a wind-exposed ridge above a rock band.

The rider triggered a large avalanche, approximately 800 metres wide by 400 metres long. The crown was 55cm deep on the steep, rocky, windswept roll where the avalanche was triggered, but significantly more snow was involved at lower elevations where the snowpack was sheltered from wind and much deeper. The bed surface was a crust that formed in early November and the suspected failure layer was faceted grains on the crust.

The snowmobiler was caught in the avalanche and buried in a terrain trap near the base of the slide. Their partner, who was watching from below and was not caught by the avalanche, performed companion rescue to locate and dig out the victim. The buried person did not survive.",Pine Pass - Bijou Falls,BC,55.29895,-122.725371,1680,Snowmobiling,1,0,1,November,-8
2,2,2020-03-14,2020,Friday,A snowshoer left on a solo hike March 14 and was reported missing March 17. Initial SAR effort March 18 found tracks leading into avalanche debris on the west face of Brunswick Mountain. The subject was recovered March 20 using search dogs and Recco dectectors. It's suspected that a wind slab was triggered by the subject on March 14.,Brunswick Mountain,BC,49.488248,-123.205318,1500,Snowshoeing,1,0,1,March,-4
3,4,2020-02-13,2020,Saturday,"A snowmobiler was caught in an avalanche in steep terrain while riding near Starlight Mountain in Willmore Wilderness Park approximately 50 km southeast of Grande Cache. The size 2.5 slab avalanche measured approximately 200 m wide by 300 m long and released on or close to the ground.



The victim was located and dug out of the snow by the other member of the group but could not be revived. Authorities were notified but were unable to mount a recovery until the following day due to the late hour and lack of daylight. The survivor spent the night in a nearby cabin and was aided out of the backcountry with assistance from RCMP and volunteers.",Willmore Wilderness Park,AB,53.50768,-118.78414,2100,Snowmobiling,2,0,1,February,-2
4,5,2020-02-02,2020,Monday,"Late in the afternoon on February 2, 2020 authorities received notification of an incident involving a snowmobiler who was missing after an avalanche had occurred. SAR efforts were hampered by poor weather and the risk of further avalanches. Eventually a snowmobile was observed in the avalanche debris where the missing person was reported but no transceiver signal was found. Probing and avalanche rescue dog teams were unable to locate the missing person. Active rescue efforts were suspended on February 8th. See attached information from Chetwynd RCMP for further details.



Preliminary investigation suggests the avalanche failed on a layer of faceted snow lying on a rain crust that formed in mid-November.



This report was created Feb 12, 2020 and will be updated if new information becomes available.",Upper Burnt,BC,55.27017,-122.310302,1600,Snowmobiling,1,0,1,February,3
5,6,2020-01-10,2020,Saturday,A party of three were skiing on a south-facing slope on Mt Hector in Banff National Park. A slab avalanche approximately 80 m wide was triggered. The crown tapered dramatically along the crest of the ridge from nearly 2 m in heavily wind-loaded drifts to as little as 40 cm. The avalanche ran for approximately 550 m and caught one person who was deeply buried by the debris. The victim was extricated by companion rescue and airlifted to hospital. She succumbed to her injuries and died the following day.,Mount Hector,AB,51.555461,-116.27115,2300,Skiing,1,0,1,January,5
6,7,2020-01-04,2020,Tuesday,"Two people were snowmobiling on a small but steep slope above Cabin Lake. A slab avalanche 300 metres wide with an average thickness of 60cm thick was triggered. The avalanche ran up to 175 metres and caught one person who was buried and did not survive. Storms had recently deposited significant amounts of new snow in the area, accompanied by strong south-westerly winds. Preliminary investigation found a layer of surface hoar 60-70cm deep on the bed surface of the slide. The presence of surface hoar and the significant propagation of the fracture line on a relatively small treeline feature suggest this was a Persistent Slab avalanche.",Cabin Lake,BC,49.972113,-121.225966,1850,Snowmobiling,1,0,1,January,0
7,8,2019-12-30,2019,Saturday,A party of three snowboarders were climbing on foot on a slope near the highway. About 2/3 of the way up a slab avalanche approximately 1.5m deep by 50-100m wide was triggered. The avalanche ran approximately 150 metres into a terrain trap and and caught all three. Two were fully buried and one was partially buried. The partially buried person was able to self extricate and used a satellite messaging system to call for help.,Chuck Creek Parking Area,BC,59.702282,-136.602223,1010,Snowboarding,3,1,2,December,6
8,9,2019-04-20,2019,Monday,A party of three backcountry skiers were involved in an avalanche on Des Poilus Glacier in Yoho National Park. The avalanche occurred on a southeast aspect at an elevation of 3000 m. The fracture depth was approximately 60 cm. One male patient was transferred by STARS Air Ambulance to Calgary where he passed away.,Yoho National Park,BC,51.59123,-116.60428,3000,Backcountry Skiing,3,0,1,April,9
9,10,2019-04-16,2019,Monday,"A party of three ice climbers were attempting a difficult ice climbing route on the east face of Howse Peak in Banff National Park. The accident is believed to have occurred on the descent. All three climbers were caught in the avalanche and died. Due to the technical nature of the terrain and unfavourable weather conditions, the victimâ€™s bodies were not recovered until April 21.



This is a preliminary report and will be updated when more information is available.",Howse Peak,AB,51.813002,-116.669218,2100,Ice Climbing,3,0,3,April,7
